,id,formattedAddress,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt
0,"5509-Roanwood,-San-Antonio,-TX-78244","5509 Roanwood, San Antonio, TX 78244",San Antonio,TX,48,78244,Bexar,029,29.477359,-98.349687,Multi-Family,4.0,2.0,1973.0,1985.0
1,"5528-Lochmoor,-San-Antonio,-TX-78244","5528 Lochmoor, San Antonio, TX 78244",San Antonio,TX,48,78244,Bexar,029,29.477808,-98.350542,Single Family,2.0,1.5,912.0,
2,"5523-Lochmoor,-Apt-2,-San-Antonio,-TX-78244","5523 Lochmoor, Apt 2, San Antonio, TX 78244",San Antonio,TX,48,78244,Bexar,029,29.477526,-98.350809,Multi-Family,2.0,1.0,800.0,1984.0
3,"5721-Lochmoor,-San-Antonio,-TX-78244","5721 Lochmoor, San Antonio, TX 78244",San Antonio,TX,48,78244,Bexar,029,29.479965,-98.350807,Apartment,2.0,2.0,,
4,"5519-Lochmoor,-Apt-2,-San-Antonio,-TX-78244","5519 Lochmoor, Apt 2, San Antonio, TX 78244",San Antonio,TX,48,78244,Bexar,029,29.47746,-98.350786,Multi-Family,2.0,1.0,800.0,1984.0
5,"5527-Lochmoor,---2,-San-Antonio,-TX-78244","5527 Lochmoor, # 2, San Antonio, TX 78244",San Antonio,TX,48,78244,Bexar,029,29.47776,-98.350808,,,,,
6,"5520-Lochmoor,-San-Antonio,-TX-78244","5520 Lochmoor, San Antonio, TX 78244",San Antonio,TX,48,78244,Bexar,029,29.477456,-98.350543,Single Family,2.0,2.0,983.0,
7,"5512-Lochmoor,-San-Antonio,-TX-78244","5512 Lochmoor, San Antonio, TX 78244",San Antonio,TX,48,78244,Bexar,029,29.477105,-98.350544,Apartment,2.0,2.0,970.0,1985.0
8,"5516-Lochmoor,-San-Antonio,-TX-78244","5516 Lochmoor, San Antonio, TX 78244",San Antonio,TX,48,78244,Bexar,029,29.477293,-98.350543,Apartment,2.0,1.0,850.0,
9,"5511-Lochmoor,-Apt-2,-San-Antonio,-TX-78244","5511 Lochmoor, Apt 2, San Antonio, TX 78244",San Antonio,TX,48,78244,Bexar,029,29.4769,-98.350809,Single Family,2.0,1.0,800.0,
10,"5705-Lochmoor,-San-Antonio,-TX-78244","5705 Lochmoor, San Antonio, TX 78244",San Antonio,TX,48,78244,Bexar,029,29.477,-98.350546,,,,,
11,"7002-Atherton,-San-Antonio,-TX-78244","7002 Atherton, San Antonio, TX 78244",San Antonio,TX,48,78244,Bexar,029,29.476766,-98.350547,,,,,
